SP1,SP2,SP3,SP4,y01,y02,y03,y04,y05,y06,y07,y08,y09,y10,y11,y12,y13,y14,y15,y16,y17,y18,y19,y20,y21,y22,y23,y24,y25,y26,y27,y28,y29,y30,y31,y32,y33,y34,y35,y36,y37,y38,y39,y40,y41,MV1,MV2,MV3,MV4,MV5,MV6,MV7,MV8,MV9,MV10,MV11,MV12
88.15719523,8.278707307,19.54710436,50.81190172,0.198998277,5111.93896,745.987424,7.802839683,19.69920269,31.69959792,2798.005665,64.62596497,121.8986048,0.086040426,83.27422528,52.98681924,2762.843925,17.69445192,53.81846874,2995.052668,18.05197538,71.09561995,193.4096158,273.5171998,97.03742932,45.52201688,29.52778471,27.64051889,18.25996409,12.58337311,4.063611365,1.384623497,27.98606957,44.86769435,9.968366212,2.105082586,3.848471335,1.963425854,9.272115369,0.454820944,0.026255975,0.139222416,0.059896856,89.62318952,8.150950386,88.15719523,8.278707307,19.54710436,50.81190172,77.62,9.336209614,29.35811219,38.98361765,47.446,38.00462671,87.81504989,50
87.99309666,8.439990854,17.30537385,50.97954178,0.176226371,5109.241833,693.0003582,7.816233775,20.34360051,32.00895721,2796.066814,65.08649978,121.8931994,0.083694282,83.20420362,55.44475412,2760.803844,17.58666942,53.53937203,2993.788073,18.04016081,71.08294417,194.4052895,274.8509715,97.06528547,45.57381826,29.55319822,27.70167002,18.18178799,12.66495483,3.942455524,1.402685529,27.67035908,44.83015938,9.775975107,2.156784435,3.707767209,1.995815886,9.404828982,0.509938788,0.02972395,0.111353167,0.051570317,89.23053208,7.162466292,87.99309666,8.439990854,17.30537385,50.97954178,77.57906834,8.957579262,29.36453621,38.97933591,47.446,37.87723181,90.02046583,50
88.00761358,8.464022886,18.8293829,50.87298288,0.192494828,5112.450739,666.9900127,7.829573937,20.03959736,31.78945545,2796.123127,64.42149039,121.9188704,0.067167319,83.37763865,53.40264589,2759.948756,17.62609884,52.26206057,2994.584911,18.29450399,71.15696304,192.5122262,275.7117338,97.08394716,45.52624721,29.65712531,27.60995522,18.53372225,12.49210326,3.704597867,1.326185056,27.80462142,44.6133551,9.545177729,1.980973424,4.396197498,1.955207917,9.40445683,0.518213343,0.012245095,0.12093107,0.062087856,90.58711141,8.49164265,88.00761358,8.464022886,18.8293829,50.87298288,77.62,7.529049425,29.33252662,38.94458529,47.446,38.05783197,87.34370173,50
87.82369703,8.553214003,18.16262549,50.86864371,0.185233875,5086.997425,729.8722917,7.84745194,19.87714181,31.82748866,2797.383367,64.71953781,121.9156093,0.074194695,83.36069812,52.49294752,2761.925913,17.68611824,54.14599912,2994.416182,17.90530081,71.13190297,193.6549,273.1894479,97.07881582,45.49534943,29.36736752,27.752849,17.1385057,12.59188449,4.000455305,1.404556428,27.7952858,44.91362082,9.722823827,2.119974178,4.222128126,1.955243296,9.419431245,0.532511515,0.018793431,0.131403176,0.055699153,90.66805443,9.215611529,87.82369703,8.553214003,18.16262549,50.86864371,77.62,8.200695486,29.40488045,38.95141588,47.446,38.01047222,88.58052179,50
87.96556127,8.479591703,19.08097694,50.63068608,0.193377028,5089.591766,718.8804296,7.772809815,19.58162353,31.83382819,2796.097683,63.8308959,121.8828017,0.086290499,83.34921186,51.5983907,2760.72393,17.65522149,54.97150829,2992.884954,18.13650608,71.1725947,192.7099942,273.0857328,97.1054036,45.5420149,29.58114456,27.63812054,17.87928907,12.63403986,3.482042869,1.438879843,27.87270052,44.82294454,9.65050397,2.290638824,3.745142323,1.939519678,9.487713543,0.474763615,0.00116428,0.145200075,0.057677019,89.6296005,7.91954034,87.96556127,8.479591703,19.08097694,50.63068608,77.62,9.02990924,29.38637872,38.92598888,47.446,37.97794542,88.50966837,50
88.18466538,8.241695373,18.17537367,50.81552725,0.185152356,5118.617538,650.4577162,7.723554898,18.97986323,31.93003391,2794.461592,63.2736261,121.9102046,0.074666988,83.24256765,52.86669158,2759.376528,17.57658842,54.91213406,2993.363168,18.02312125,71.10917852,194.1612173,275.4910334,97.03746689,45.54695439,29.51085482,27.68450422,17.5826368,12.51868427,3.617631522,1.432910756,27.84161594,44.72242779,9.551916888,2.097761845,4.021574713,1.950672054,9.337252129,0.569201639,0.008862478,0.124459931,0.064341326,89.28321889,8.415949375,88.18466538,8.241695373,18.17537367,50.81552725,75.35141559,8.131346353,29.40890906,39.0046501,47.446,38.01567334,91.1342922,50
88.03958824,8.318909753,18.72476183,50.77788532,0.191132181,5109.891332,661.6025685,7.757062903,19.61516285,32.1301368,2792.630832,63.41551233,121.9205685,0.078312541,83.29478557,52.75663243,2757.845565,17.73444133,55.04949288,2990.095361,18.24327977,71.17291901,193.1482798,274.3271744,97.07987567,45.57990182,29.88836871,27.78309081,17.66361853,12.57003463,3.602450443,1.40416749,28.03884176,44.68329417,9.277862676,2.06827185,4.176834218,2.027907064,9.363989638,0.504419368,0.017284503,0.131935986,0.059636192,90.36339416,8.83960603,88.03958824,8.318909753,18.72476183,50.77788532,73.07529126,8.501756752,29.32708948,38.95522614,47.446,38.16426604,92.27235437,50
87.90556381,8.524400663,18.60374372,50.68531061,0.19168918,5111.819768,712.6284705,7.700913125,19.74882678,32.58646708,2791.827582,64.18747648,121.8617489,0.094995683,83.39631471,52.11020777,2756.638525,17.72856883,55.80818297,2989.75292,18.25705283,71.19407588,193.5811818,274.6157915,97.03559629,45.50786663,29.53290568,27.59689112,17.93121894,12.43145643,4.113086224,1.320967624,27.64890348,44.82921034,9.464309998,2.195706626,3.759149086,1.971093756,9.495526395,0.547857969,0.021413501,0.136863799,0.068592225,89.25248744,7.854939619,87.90556381,8.524400663,18.60374372,50.68531061,74.22497331,10.60481974,29.36391427,38.9707851,47.446,37.7186704,91.69751335,50
88.1202916,8.257351426,18.8699058,50.80038953,0.191081548,5108.882342,727.0413677,7.688489516,19.58305473,32.03182378,2789.607875,63.70375292,121.8988955,0.094063611,83.44265957,53.00855714,2754.59177,17.70309393,53.83281486,2987.079897,17.91472165,71.18809046,195.1329457,274.1926032,97.03796922,45.51106458,29.24823025,27.46588913,18.15992786,12.48585453,3.931691899,1.431316011,27.85656234,44.83366372,9.513055383,2.005650381,4.26297584,1.985400015,9.499736166,0.492183891,0.015659655,0.136216905,0.072180883,89.93694774,8.305008056,88.1202916,8.257351426,18.8699058,50.80038953,77.62,10.3949006,29.39497533,38.9960881,47.446,37.77281997,88.88818776,50
88.16670769,8.258735001,17.97578611,50.73371122,0.181228721,5135.905504,710.771687,7.786229095,20.0216377,31.74620368,2790.24092,64.07523364,121.9083723,0.068870736,83.44439361,54.18836954,2754.630104,17.4151266,54.6733406,2986.319992,18.04214567,71.19170021,193.8655738,273.5725901,96.99746764,45.52204682,29.29159429,27.66561881,17.76628689,12.64754402,4.228413548,1.407609937,27.60953652,44.6611873,9.419014505,1.923293753,3.812148307,2.012877062,9.33602859,0.516467017,-0.002773647,0.143170673,0.077955139,90.6231083,6.956459164,88.16670769,8.258735001,17.97578611,50.73371122,77.0973348,7.646473989,29.38769931,38.949403,47.446,38.11143394,90.2613326,50
88.0650537,8.404298431,18.33307662,50.86902329,0.184624128,5123.616329,686.0107394,7.681189318,20.14068477,31.67596595,2790.161215,64.2799804,121.8976816,0.084426174,83.43552239,53.35742578,2754.423424,17.72700924,53.65725582,2986.617146,17.80471921,71.18299963,193.3745408,274.1637872,97.02177058,45.55251042,29.40185439,27.66744407,18.11307667,12.39028144,3.579197597,1.459064907,27.51270907,44.73056988,8.818126724,2.127953294,3.476997784,1.955323064,9.49326986,0.575504713,0.021347072,0.115160142,0.064595665,90.19479739,7.978903491,88.0650537,8.404298431,18.33307662,50.86902329,77.62,9.39368191,29.38289093,38.98595429,47.446,38.15126916,89.56573822,50
